Name,Type_1,Type_2,Pokedex_Entry,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Abilities,Ability_1,Ability_2,Hidden_Ability
Glalie,Ice,,0362,480,80,80,80,80,80,80,"Inner Focus, Ice Body, Moody",Inner Focus,Ice Body,Moody
Glalie Mega Glalie,Ice,,0362,580,80,120,80,120,80,100,Refrigerate,Refrigerate,,
Spheal,Ice,Water,0363,290,70,40,50,55,50,25,"Thick Fat, Ice Body, Oblivious",Thick Fat,Ice Body,Oblivious
Sealeo,Ice,Water,0364,410,90,60,70,75,70,45,"Thick Fat, Ice Body, Oblivious",Thick Fat,Ice Body,Oblivious
Walrein,Ice,Water,0365,530,110,80,90,95,90,65,"Thick Fat, Ice Body, Oblivious",Thick Fat,Ice Body,Oblivious
Clamperl,Water,,0366,345,35,64,85,74,55,32,"Shell Armor, Rattled",Shell Armor,,Rattled
Huntail,Water,,0367,485,55,104,105,94,75,52,"Swift Swim, Water Veil",Swift Swim,,Water Veil
Gorebyss,Water,,0368,485,55,84,105,114,75,52,"Swift Swim, Hydration",Swift Swim,,Hydration
Relicanth,Water,Rock,0369,485,100,90,130,45,65,55,"Swift Swim, Rock Head, Sturdy",Swift Swim,Rock Head,Sturdy
Luvdisc,Water,,0370,330,43,30,55,40,65,97,"Swift Swim, Hydration",Swift Swim,,Hydration
Bagon,Dragon,,0371,300,45,75,60,40,30,50,"Rock Head, Sheer Force",Rock Head,,Sheer Force
Shelgon,Dragon,,0372,420,65,95,100,60,50,50,"Rock Head, Overcoat",Rock Head,,Overcoat
Salamence,Dragon,Flying,0373,600,95,135,80,110,80,100,"Intimidate, Moxie",Intimidate,,Moxie
Salamence Mega Salamence,Dragon,Flying,0373,700,95,145,130,120,90,120,Aerilate,Aerilate,,
Beldum,Steel,Psychic,0374,300,40,55,80,35,60,30,"Clear Body, Light Metal",Clear Body,,Light Metal
Metang,Steel,Psychic,0375,420,60,75,100,55,80,50,"Clear Body, Light Metal",Clear Body,,Light Metal
Metagross,Steel,Psychic,0376,600,80,135,130,95,90,70,"Clear Body, Light Metal",Clear Body,,Light Metal
Metagross Mega Metagross,Steel,Psychic,0376,700,80,145,150,105,110,110,Tough Claws,Tough Claws,,
Regirock,Rock,,0377,580,80,100,200,50,100,50,"Clear Body, Sturdy",Clear Body,,Sturdy
Regice,Ice,,0378,580,80,50,100,100,200,50,"Clear Body, Ice Body",Clear Body,,Ice Body
Registeel,Steel,,0379,580,80,75,150,75,150,50,"Clear Body, Light Metal",Clear Body,,Light Metal
Latias,Dragon,Psychic,0380,600,80,80,90,110,130,110,Levitate,Levitate,,
Latias Mega Latias,Dragon,Psychic,0380,700,80,100,120,140,150,110,Levitate,Levitate,,
Latios,Dragon,Psychic,0381,600,80,90,80,130,110,110,Levitate,Levitate,,
Latios Mega Latios,Dragon,Psychic,0381,700,80,130,100,160,120,110,Levitate,Levitate,,
Kyogre,Water,,0382,670,100,100,90,150,140,90,Drizzle,Drizzle,,
Kyogre Primal Kyogre,Water,,0382,770,100,150,90,180,160,90,Primordial Sea,Primordial Sea,,
Groudon,Ground,,0383,670,100,150,140,100,90,90,Drought,Drought,,
Groudon Primal Groudon,Ground,Fire,0383,770,100,180,160,150,90,90,Desolate Land,Desolate Land,,
Rayquaza,Dragon,Flying,0384,680,105,150,90,150,90,95,Air Lock,Air Lock,,
Rayquaza Mega Rayquaza,Dragon,Flying,0384,780,105,180,100,180,100,115,Delta Stream,Delta Stream,,
Jirachi,Steel,Psychic,0385,600,100,100,100,100,100,100,Serene Grace,Serene Grace,,
Deoxys Normal Forme,Psychic,,0386,600,50,150,50,150,50,150,Pressure,Pressure,,
Deoxys Attack Forme,Psychic,,0386,600,50,180,20,180,20,150,Pressure,Pressure,,
Deoxys Defense Forme,Psychic,,0386,600,50,70,160,70,160,90,Pressure,Pressure,,
Deoxys Speed Forme,Psychic,,0386,600,50,95,90,95,90,180,Pressure,Pressure,,
Turtwig,Grass,,0387,318,55,68,64,45,55,31,"Overgrow, Shell Armor",Overgrow,,Shell Armor
Grotle,Grass,,0388,405,75,89,85,55,65,36,"Overgrow, Shell Armor",Overgrow,,Shell Armor
Torterra,Grass,Ground,0389,525,95,109,105,75,85,56,"Overgrow, Shell Armor",Overgrow,,Shell Armor
Chimchar,Fire,,0390,309,44,58,44,58,44,61,"Blaze, Iron Fist",Blaze,,Iron Fist
Monferno,Fire,Fighting,0391,405,64,78,52,78,52,81,"Blaze, Iron Fist",Blaze,,Iron Fist
Infernape,Fire,Fighting,0392,534,76,104,71,104,71,108,"Blaze, Iron Fist",Blaze,,Iron Fist
Piplup,Water,,0393,314,53,51,53,61,56,40,"Torrent, Defiant",Torrent,,Defiant
Prinplup,Water,,0394,405,64,66,68,81,76,50,"Torrent, Defiant",Torrent,,Defiant
Empoleon,Water,Steel,0395,530,84,86,88,111,101,60,"Torrent, Defiant",Torrent,,Defiant
Starly,Normal,Flying,0396,245,40,55,30,30,30,60,"Keen Eye, Reckless",Keen Eye,,Reckless
Staravia,Normal,Flying,0397,340,55,75,50,40,40,80,"Intimidate, Reckless",Intimidate,,Reckless
Staraptor,Normal,Flying,0398,485,85,120,70,50,60,100,"Intimidate, Reckless",Intimidate,,Reckless
Bidoof,Normal,,0399,250,59,45,40,35,40,31,"Simple, Unaware, Moody",Simple,Unaware,Moody
Bibarel,Normal,Water,0400,410,79,85,60,55,60,71,"Simple, Unaware, Moody",Simple,Unaware,Moody
Kricketot,Bug,,0401,194,37,25,41,25,41,25,"Shed Skin, Run Away",Shed Skin,,Run Away
Kricketune,Bug,,0402,384,77,85,51,55,51,65,"Swarm, Technician",Swarm,,Technician
Shinx,Electric,,0403,263,45,65,34,40,34,45,"Rivalry, Intimidate, Guts",Rivalry,Intimidate,Guts
Luxio,Electric,,0404,363,60,85,49,60,49,60,"Rivalry, Intimidate, Guts",Rivalry,Intimidate,Guts
Luxray,Electric,,0405,523,80,120,79,95,79,70,"Rivalry, Intimidate, Guts",Rivalry,Intimidate,Guts
Budew,Grass,Poison,0406,280,40,30,35,50,70,55,"Natural Cure, Poison Point, Leaf Guard",Natural Cure,Poison Point,Leaf Guard
Roserade,Grass,Poison,0407,515,60,70,65,125,105,90,"Natural Cure, Poison Point, Technician",Natural Cure,Poison Point,Technician
Cranidos,Rock,,0408,350,67,125,40,30,30,58,"Mold Breaker, Sheer Force",Mold Breaker,,Sheer Force
Rampardos,Rock,,0409,495,97,165,60,65,50,58,"Mold Breaker, Sheer Force",Mold Breaker,,Sheer Force
Shieldon,Rock,Steel,0410,350,30,42,118,42,88,30,"Sturdy, Soundproof",Sturdy,,Soundproof
Bastiodon,Rock,Steel,0411,495,60,52,168,47,138,30,"Sturdy, Soundproof",Sturdy,,Soundproof
Burmy Plant Cloak,Bug,,0412,224,40,29,45,29,45,36,"Shed Skin, Overcoat",Shed Skin,,Overcoat
Burmy Sandy Cloak,Bug,,0412,224,40,29,45,29,45,36,"Shed Skin, Overcoat",Shed Skin,,Overcoat
Burmy Trash Cloak,Bug,,0412,224,40,29,45,29,45,36,"Shed Skin, Overcoat",Shed Skin,,Overcoat
Wormadam Plant Cloak,Bug,Grass,0413,424,60,59,85,79,105,36,"Anticipation, Overcoat",Anticipation,,Overcoat
Wormadam Sandy Cloak,Bug,Ground,0413,424,60,79,105,59,85,36,"Anticipation, Overcoat",Anticipation,,Overcoat
Wormadam Trash Cloak,Bug,Steel,0413,424,60,69,95,69,95,36,"Anticipation, Overcoat",Anticipation,,Overcoat
Mothim,Bug,Flying,0414,424,70,94,50,94,50,66,"Swarm, Tinted Lens",Swarm,,Tinted Lens
Combee,Bug,Flying,0415,244,30,30,42,30,42,70,"Honey Gather, Hustle",Honey Gather,,Hustle
Vespiquen,Bug,Flying,0416,474,70,80,102,80,102,40,"Pressure, Unnerve",Pressure,,Unnerve
Pachirisu,Electric,,0417,405,60,45,70,45,90,95,"Run Away, Pickup, Volt Absorb",Run Away,Pickup,Volt Absorb
Buizel,Water,,0418,330,55,65,35,60,30,85,"Swift Swim, Water Veil",Swift Swim,,Water Veil
Floatzel,Water,,0419,495,85,105,55,85,50,115,"Swift Swim, Water Veil",Swift Swim,,Water Veil
Cherubi,Grass,,0420,275,45,35,45,62,53,35,Chlorophyll,Chlorophyll,,
Cherrim,Grass,,0421,450,70,60,70,87,78,85,Flower Gift,Flower Gift,,
Shellos,Water,,0422,325,76,48,48,57,62,34,"Sticky Hold, Storm Drain, Sand Force",Sticky Hold,Storm Drain,Sand Force
Gastrodon,Water,Ground,0423,475,111,83,68,92,82,39,"Sticky Hold, Storm Drain, Sand Force",Sticky Hold,Storm Drain,Sand Force
Ambipom,Normal,,0424,482,75,100,66,60,66,115,"Technician, Pickup, Skill Link",Technician,Pickup,Skill Link
Drifloon,Ghost,Flying,0425,348,90,50,34,60,44,70,"Aftermath, Unburden, Flare Boost",Aftermath,Unburden,Flare Boost
Drifblim,Ghost,Flying,0426,498,150,80,44,90,54,80,"Aftermath, Unburden, Flare Boost",Aftermath,Unburden,Flare Boost
Buneary,Normal,,0427,350,55,66,44,44,56,85,"Run Away, Klutz, Limber",Run Away,Klutz,Limber
Lopunny,Normal,,0428,480,65,76,84,54,96,105,"Cute Charm, Klutz, Limber",Cute Charm,Klutz,Limber
Lopunny Mega Lopunny,Normal,Fighting,0428,580,65,136,94,54,96,135,Scrappy,Scrappy,,
Mismagius,Ghost,,0429,495,60,60,60,105,105,105,Levitate,Levitate,,
Honchkrow,Dark,Flying,0430,505,100,125,52,105,52,71,"Insomnia, Super Luck, Moxie",Insomnia,Super Luck,Moxie
Glameow,Normal,,0431,310,49,55,42,42,37,85,"Limber, Own Tempo, Keen Eye",Limber,Own Tempo,Keen Eye
Purugly,Normal,,0432,452,71,82,64,64,59,112,"Thick Fat, Own Tempo, Defiant",Thick Fat,Own Tempo,Defiant
Chingling,Psychic,,0433,285,45,30,50,65,50,45,Levitate,Levitate,,
Stunky,Poison,Dark,0434,329,63,63,47,41,41,74,"Stench, Aftermath, Keen Eye",Stench,Aftermath,Keen Eye
Skuntank,Poison,Dark,0435,479,103,93,67,71,61,84,"Stench, Aftermath, Keen Eye",Stench,Aftermath,Keen Eye
Bronzor,Steel,Psychic,0436,300,57,24,86,24,86,23,"Levitate, Heatproof, Heavy Metal",Levitate,Heatproof,Heavy Metal
Bronzong,Steel,Psychic,0437,500,67,89,116,79,116,33,"Levitate, Heatproof, Heavy Metal",Levitate,Heatproof,Heavy Metal
Bonsly,Rock,,0438,290,50,80,95,10,45,10,"Sturdy, Rock Head, Rattled",Sturdy,Rock Head,Rattled
Mime Jr.,Psychic,Fairy,0439,310,20,25,45,70,90,60,"Soundproof, Filter, Technician",Soundproof,Filter,Technician
Happiny,Normal,,0440,220,100,5,5,15,65,30,"Natural Cure, Serene Grace, Friend Guard",Natural Cure,Serene Grace,Friend Guard
Chatot,Normal,Flying,0441,411,76,65,45,92,42,91,"Keen Eye, Tangled Feet, Big Pecks",Keen Eye,Tangled Feet,Big Pecks
Spiritomb,Ghost,Dark,0442,485,50,92,108,92,108,35,"Pressure, Infiltrator",Pressure,,Infiltrator
Gible,Dragon,Ground,0443,300,58,70,45,40,45,42,"Sand Veil, Rough Skin",Sand Veil,,Rough Skin
Gabite,Dragon,Ground,0444,410,68,90,65,50,55,82,"Sand Veil, Rough Skin",Sand Veil,,Rough Skin
Garchomp,Dragon,Ground,0445,600,108,130,95,80,85,102,"Sand Veil, Rough Skin",Sand Veil,,Rough Skin
Garchomp Mega Garchomp,Dragon,Ground,0445,700,108,170,115,120,95,92,Sand Force,Sand Force,,
Munchlax,Normal,,0446,390,135,85,40,40,85,5,"Pickup, Thick Fat, Gluttony",Pickup,Thick Fat,Gluttony
Riolu,Fighting,,0447,285,40,70,40,35,40,60,"Steadfast, Inner Focus, Prankster",Steadfast,Inner Focus,Prankster
Lucario,Fighting,Steel,0448,525,70,110,70,115,70,90,"Steadfast, Inner Focus, Justified",Steadfast,Inner Focus,Justified
Lucario Mega Lucario,Fighting,Steel,0448,625,70,145,88,140,70,112,Adaptability,Adaptability,,
Hippopotas,Ground,,0449,330,68,72,78,38,42,32,"Sand Stream, Sand Force",Sand Stream,,Sand Force
Hippowdon,Ground,,0450,525,108,112,118,68,72,47,"Sand Stream, Sand Force",Sand Stream,,Sand Force
Skorupi,Poison,Bug,0451,330,40,50,90,30,55,65,"Battle Armor, Sniper, Keen Eye",Battle Armor,Sniper,Keen Eye
Drapion,Poison,Dark,0452,500,70,90,110,60,75,95,"Battle Armor, Sniper, Keen Eye",Battle Armor,Sniper,Keen Eye
Croagunk,Poison,Fighting,0453,300,48,61,40,61,40,50,"Anticipation, Dry Skin, Poison Touch",Anticipation,Dry Skin,Poison Touch
Toxicroak,Poison,Fighting,0454,490,83,106,65,86,65,85,"Anticipation, Dry Skin, Poison Touch",Anticipation,Dry Skin,Poison Touch
Carnivine,Grass,,0455,454,74,100,72,90,72,46,Levitate,Levitate,,
Finneon,Water,,0456,330,49,49,56,49,61,66,"Swift Swim, Storm Drain, Water Veil",Swift Swim,Storm Drain,Water Veil
Lumineon,Water,,0457,460,69,69,76,69,86,91,"Swift Swim, Storm Drain, Water Veil",Swift Swim,Storm Drain,Water Veil
Mantyke,Water,Flying,0458,345,45,20,50,60,120,50,"Swift Swim, Water Absorb, Water Veil",Swift Swim,Water Absorb,Water Veil
Snover,Grass,Ice,0459,334,60,62,50,62,60,40,"Snow Warning, Soundproof",Snow Warning,,Soundproof
Abomasnow,Grass,Ice,0460,494,90,92,75,92,85,60,"Snow Warning, Soundproof",Snow Warning,,Soundproof
Abomasnow Mega Abomasnow,Grass,Ice,0460,594,90,132,105,132,105,30,Snow Warning,Snow Warning,,
Weavile,Dark,Ice,0461,510,70,120,65,45,85,125,"Pressure, Pickpocket",Pressure,,Pickpocket
Magnezone,Electric,Steel,0462,535,70,70,115,130,90,60,"Magnet Pull, Sturdy, Analytic",Magnet Pull,Sturdy,Analytic
Lickilicky,Normal,,0463,515,110,85,95,80,95,50,"Own Tempo, Oblivious, Cloud Nine",Own Tempo,Oblivious,Cloud Nine
Rhyperior,Ground,Rock,0464,535,115,140,130,55,55,40,"Lightning Rod, Solid Rock, Reckless",Lightning Rod,Solid Rock,Reckless
Tangrowth,Grass,,0465,535,100,100,125,110,50,50,"Chlorophyll, Leaf Guard, Regenerator",Chlorophyll,Leaf Guard,Regenerator
Electivire,Electric,,0466,540,75,123,67,95,85,95,"Motor Drive, Vital Spirit",Motor Drive,,Vital Spirit
Magmortar,Fire,,0467,540,75,95,67,125,95,83,"Flame Body, Vital Spirit",Flame Body,,Vital Spirit
Togekiss,Fairy,Flying,0468,545,85,50,95,120,115,80,"Hustle, Serene Grace, Super Luck",Hustle,Serene Grace,Super Luck
Yanmega,Bug,Flying,0469,515,86,76,86,116,56,95,"Speed Boost, Tinted Lens, Frisk",Speed Boost,Tinted Lens,Frisk
Leafeon,Grass,,0470,525,65,110,130,60,65,95,"Leaf Guard, Chlorophyll",Leaf Guard,,Chlorophyll
Glaceon,Ice,,0471,525,65,60,110,130,95,65,"Snow Cloak, Ice Body",Snow Cloak,,Ice Body
Gliscor,Ground,Flying,0472,510,75,95,125,45,75,95,"Hyper Cutter, Sand Veil, Poison Heal",Hyper Cutter,Sand Veil,Poison Heal
Mamoswine,Ice,Ground,0473,530,110,130,80,70,60,80,"Oblivious, Snow Cloak, Thick Fat",Oblivious,Snow Cloak,Thick Fat
Porygon-Z,Normal,,0474,535,85,80,70,135,75,90,"Adaptability, Download, Analytic",Adaptability,Download,Analytic
Gallade,Psychic,Fighting,0475,518,68,125,65,65,115,80,"Steadfast, Sharpness, Justified",Steadfast,Sharpness,Justified
Gallade Mega Gallade,Psychic,Fighting,0475,618,68,165,95,65,115,110,Inner Focus,Inner Focus,,
Probopass,Rock,Steel,0476,525,60,55,145,75,150,40,"Sturdy, Magnet Pull, Sand Force",Sturdy,Magnet Pull,Sand Force
Dusknoir,Ghost,,0477,525,45,100,135,65,135,45,"Pressure, Frisk",Pressure,,Frisk
Froslass,Ice,Ghost,0478,480,70,80,70,80,70,110,"Snow Cloak, Cursed Body",Snow Cloak,,Cursed Body
Rotom,Electric,Ghost,0479,440,50,50,77,95,77,91,Levitate,Levitate,,
Rotom Heat Rotom,Electric,Fire,0479,520,50,65,107,105,107,86,Levitate,Levitate,,
Rotom Wash Rotom,Electric,Water,0479,520,50,65,107,105,107,86,Levitate,Levitate,,
Rotom Frost Rotom,Electric,Ice,0479,520,50,65,107,105,107,86,Levitate,Levitate,,
Rotom Fan Rotom,Electric,Flying,0479,520,50,65,107,105,107,86,Levitate,Levitate,,
Rotom Mow Rotom,Electric,Grass,0479,520,50,65,107,105,107,86,Levitate,Levitate,,
Uxie,Psychic,,0480,580,75,75,130,75,130,95,Levitate,Levitate,,
Mesprit,Psychic,,0481,580,80,105,105,105,105,80,Levitate,Levitate,,
Azelf,Psychic,,0482,580,75,125,70,125,70,115,Levitate,Levitate,,
Dialga,Steel,Dragon,0483,680,100,120,120,150,100,90,"Pressure, Telepathy",Pressure,,Telepathy
Dialga Origin Forme,Steel,Dragon,0483,680,100,100,120,150,120,90,"Pressure, Telepathy",Pressure,,Telepathy
Palkia,Water,Dragon,0484,680,90,120,100,150,120,100,"Pressure, Telepathy",Pressure,,Telepathy
Palkia Origin Forme,Water,Dragon,0484,680,90,100,100,150,120,120,"Pressure, Telepathy",Pressure,,Telepathy
Heatran,Fire,Steel,0485,600,91,90,106,130,106,77,"Flash Fire, Flame Body",Flash Fire,,Flame Body
Regigigas,Normal,,0486,670,110,160,110,80,110,100,Slow Start,Slow Start,,
Giratina Altered Forme,Ghost,Dragon,0487,680,150,100,120,100,120,90,"Pressure, Telepathy",Pressure,,Telepathy
Giratina Origin Forme,Ghost,Dragon,0487,680,150,120,100,120,100,90,Levitate,Levitate,,
Cresselia,Psychic,,0488,580,120,70,110,75,120,85,Levitate,Levitate,,
Phione,Water,,0489,480,80,80,80,80,80,80,Hydration,Hydration,,
Manaphy,Water,,0490,600,100,100,100,100,100,100,Hydration,Hydration,,
Darkrai,Dark,,0491,600,70,90,90,135,90,125,Bad Dreams,Bad Dreams,,
Shaymin Land Forme,Grass,,0492,600,100,100,100,100,100,100,Natural Cure,Natural Cure,,
Shaymin Sky Forme,Grass,Flying,0492,600,100,103,75,120,75,127,Serene Grace,Serene Grace,,
Arceus,Normal,,0493,720,120,120,120,120,120,120,Multitype,Multitype,,
Victini,Psychic,Fire,0494,600,100,100,100,100,100,100,Victory Star,Victory Star,,
Snivy,Grass,,0495,308,45,45,55,45,55,63,"Overgrow, Contrary",Overgrow,,Contrary
Servine,Grass,,0496,413,60,60,75,60,75,83,"Overgrow, Contrary",Overgrow,,Contrary
Serperior,Grass,,0497,528,75,75,95,75,95,113,"Overgrow, Contrary",Overgrow,,Contrary
Tepig,Fire,,0498,308,65,63,45,45,45,45,"Blaze, Thick Fat",Blaze,,Thick Fat
Pignite,Fire,Fighting,0499,418,90,93,55,70,55,55,"Blaze, Thick Fat",Blaze,,Thick Fat
Emboar,Fire,Fighting,0500,528,110,123,65,100,65,65,"Blaze, Reckless",Blaze,,Reckless
Oshawott,Water,,0501,308,55,55,45,63,45,45,"Torrent, Shell Armor",Torrent,,Shell Armor
Dewott,Water,,0502,413,75,75,60,83,60,60,"Torrent, Shell Armor",Torrent,,Shell Armor
Samurott,Water,,0503,528,95,100,85,108,70,70,"Torrent, Shell Armor",Torrent,,Shell Armor
Samurott Hisuian Samurott,Water,Dark,0503,528,90,108,80,100,65,85,"Torrent, Sharpness",Torrent,,Sharpness
Patrat,Normal,,0504,255,45,55,39,35,39,42,"Run Away, Keen Eye, Analytic",Run Away,Keen Eye,Analytic
Watchog,Normal,,0505,420,60,85,69,60,69,77,"Illuminate, Keen Eye, Analytic",Illuminate,Keen Eye,Analytic
Lillipup,Normal,,0506,275,45,60,45,25,45,55,"Vital Spirit, Pickup, Run Away",Vital Spirit,Pickup,Run Away
Herdier,Normal,,0507,370,65,80,65,35,65,60,"Intimidate, Sand Rush, Scrappy",Intimidate,Sand Rush,Scrappy
Stoutland,Normal,,0508,500,85,110,90,45,90,80,"Intimidate, Sand Rush, Scrappy",Intimidate,Sand Rush,Scrappy
Purrloin,Dark,,0509,281,41,50,37,50,37,66,"Limber, Unburden, Prankster",Limber,Unburden,Prankster
Liepard,Dark,,0510,446,64,88,50,88,50,106,"Limber, Unburden, Prankster",Limber,Unburden,Prankster
Pansage,Grass,,0511,316,50,53,48,53,48,64,"Gluttony, Overgrow",Gluttony,,Overgrow
Simisage,Grass,,0512,498,75,98,63,98,63,101,"Gluttony, Overgrow",Gluttony,,Overgrow
Pansear,Fire,,0513,316,50,53,48,53,48,64,"Gluttony, Blaze",Gluttony,,Blaze
Simisear,Fire,,0514,498,75,98,63,98,63,101,"Gluttony, Blaze",Gluttony,,Blaze
Panpour,Water,,0515,316,50,53,48,53,48,64,"Gluttony, Torrent",Gluttony,,Torrent
Simipour,Water,,0516,498,75,98,63,98,63,101,"Gluttony, Torrent",Gluttony,,Torrent
Munna,Psychic,,0517,292,76,25,45,67,55,24,"Forewarn, Synchronize, Telepathy",Forewarn,Synchronize,Telepathy
Musharna,Psychic,,0518,487,116,55,85,107,95,29,"Forewarn, Synchronize, Telepathy",Forewarn,Synchronize,Telepathy
Pidove,Normal,Flying,0519,264,50,55,50,36,30,43,"Big Pecks, Super Luck, Rivalry",Big Pecks,Super Luck,Rivalry
Tranquill,Normal,Flying,0520,358,62,77,62,50,42,65,"Big Pecks, Super Luck, Rivalry",Big Pecks,Super Luck,Rivalry
Unfezant,Normal,Flying,0521,488,80,115,80,65,55,93,"Big Pecks, Super Luck, Rivalry",Big Pecks,Super Luck,Rivalry
Blitzle,Electric,,0522,295,45,60,32,50,32,76,"Lightning Rod, Motor Drive, Sap Sipper",Lightning Rod,Motor Drive,Sap Sipper
Zebstrika,Electric,,0523,497,75,100,63,80,63,116,"Lightning Rod, Motor Drive, Sap Sipper",Lightning Rod,Motor Drive,Sap Sipper
Roggenrola,Rock,,0524,280,55,75,85,25,25,15,"Sturdy, Weak Armor, Sand Force",Sturdy,Weak Armor,Sand Force
Boldore,Rock,,0525,390,70,105,105,50,40,20,"Sturdy, Weak Armor, Sand Force",Sturdy,Weak Armor,Sand Force
Gigalith,Rock,,0526,515,85,135,130,60,80,25,"Sturdy, Sand Stream, Sand Force",Sturdy,Sand Stream,Sand Force
Woobat,Psychic,Flying,0527,323,65,45,43,55,43,72,"Unaware, Klutz, Simple",Unaware,Klutz,Simple
Swoobat,Psychic,Flying,0528,425,67,57,55,77,55,114,"Unaware, Klutz, Simple",Unaware,Klutz,Simple
Drilbur,Ground,,0529,328,60,85,40,30,45,68,"Sand Rush, Sand Force, Mold Breaker",Sand Rush,Sand Force,Mold Breaker
Excadrill,Ground,Steel,0530,508,110,135,60,50,65,88,"Sand Rush, Sand Force, Mold Breaker",Sand Rush,Sand Force,Mold Breaker
Audino,Normal,,0531,445,103,60,86,60,86,50,"Healer, Regenerator, Klutz",Healer,Regenerator,Klutz
Audino Mega Audino,Normal,Fairy,0531,545,103,60,126,80,126,50,Healer,Healer,,
Timburr,Fighting,,0532,305,75,80,55,25,35,35,"Guts, Sheer Force, Iron Fist",Guts,Sheer Force,Iron Fist
Gurdurr,Fighting,,0533,405,85,105,85,40,50,40,"Guts, Sheer Force, Iron Fist",Guts,Sheer Force,Iron Fist
Conkeldurr,Fighting,,0534,505,105,140,95,55,65,45,"Guts, Sheer Force, Iron Fist",Guts,Sheer Force,Iron Fist
Tympole,Water,,0535,294,50,50,40,50,40,64,"Swift Swim, Hydration, Water Absorb",Swift Swim,Hydration,Water Absorb
Palpitoad,Water,Ground,0536,384,75,65,55,65,55,69,"Swift Swim, Hydration, Water Absorb",Swift Swim,Hydration,Water Absorb
Seismitoad,Water,Ground,0537,509,105,95,75,85,75,74,"Swift Swim, Poison Touch, Water Absorb",Swift Swim,Poison Touch,Water Absorb
Throh,Fighting,,0538,465,120,100,85,30,85,45,"Guts, Inner Focus, Mold Breaker",Guts,Inner Focus,Mold Breaker
Sawk,Fighting,,0539,465,75,125,75,30,75,85,"Sturdy, Inner Focus, Mold Breaker",Sturdy,Inner Focus,Mold Breaker
Sewaddle,Bug,Grass,0540,310,45,53,70,40,60,42,"Swarm, Chlorophyll, Overcoat",Swarm,Chlorophyll,Overcoat
Swadloon,Bug,Grass,0541,380,55,63,90,50,80,42,"Leaf Guard, Chlorophyll, Overcoat",Leaf Guard,Chlorophyll,Overcoat
Leavanny,Bug,Grass,0542,500,75,103,80,70,80,92,"Swarm, Chlorophyll, Overcoat",Swarm,Chlorophyll,Overcoat
Venipede,Bug,Poison,0543,260,30,45,59,30,39,57,"Poison Point, Swarm, Speed Boost",Poison Point,Swarm,Speed Boost
Whirlipede,Bug,Poison,0544,360,40,55,99,40,79,47,"Poison Point, Swarm, Speed Boost",Poison Point,Swarm,Speed Boost
Scolipede,Bug,Poison,0545,485,60,100,89,55,69,112,"Poison Point, Swarm, Speed Boost",Poison Point,Swarm,Speed Boost
Cottonee,Grass,Fairy,0546,280,40,27,60,37,50,66,"Prankster, Infiltrator, Chlorophyll",Prankster,Infiltrator,Chlorophyll
Whimsicott,Grass,Fairy,0547,480,60,67,85,77,75,116,"Prankster, Infiltrator, Chlorophyll",Prankster,Infiltrator,Chlorophyll
Petilil,Grass,,0548,280,45,35,50,70,50,30,"Chlorophyll, Own Tempo, Leaf Guard",Chlorophyll,Own Tempo,Leaf Guard
Lilligant,Grass,,0549,480,70,60,75,110,75,90,"Chlorophyll, Own Tempo, Leaf Guard",Chlorophyll,Own Tempo,Leaf Guard
Lilligant Hisuian Lilligant,Grass,Fighting,0549,480,70,105,75,50,75,105,"Chlorophyll, Hustle, Leaf Guard",Chlorophyll,Hustle,Leaf Guard
Basculin Red-Striped Form,Water,,0550,460,70,92,65,80,55,98,"Reckless, Adaptability, Mold Breaker",Reckless,Adaptability,Mold Breaker
Basculin Blue-Striped Form,Water,,0550,460,70,92,65,80,55,98,"Rock Head, Adaptability, Mold Breaker",Rock Head,Adaptability,Mold Breaker
Basculin White-Striped Form,Water,,0550,460,70,92,65,80,55,98,"Rattled, Adaptability, Mold Breaker",Rattled,Adaptability,Mold Breaker
Sandile,Ground,Dark,0551,292,50,72,35,35,35,65,"Intimidate, Moxie, Anger Point",Intimidate,Moxie,Anger Point
Krokorok,Ground,Dark,0552,351,60,82,45,45,45,74,"Intimidate, Moxie, Anger Point",Intimidate,Moxie,Anger Point
Krookodile,Ground,Dark,0553,519,95,117,80,65,70,92,"Intimidate, Moxie, Anger Point",Intimidate,Moxie,Anger Point
Darumaka,Fire,,0554,315,70,90,45,15,45,50,"Hustle, Inner Focus",Hustle,,Inner Focus
Darumaka Galarian Darumaka,Ice,,0554,315,70,90,45,15,45,50,"Hustle, Inner Focus",Hustle,,Inner Focus
Darmanitan Standard Mode,Fire,,0555,480,105,140,55,30,55,95,"Sheer Force, Zen Mode",Sheer Force,,Zen Mode
Darmanitan Zen Mode,Fire,Psychic,0555,540,105,30,105,140,105,55,"Sheer Force, Zen Mode",Sheer Force,,Zen Mode
Darmanitan Galarian Standard Mode,Ice,,0555,480,105,140,55,30,55,95,"Gorilla Tactics, Zen Mode",Gorilla Tactics,,Zen Mode
Darmanitan Galarian Zen Mode,Ice,Fire,0555,540,105,160,55,30,55,135,"Gorilla Tactics, Zen Mode",Gorilla Tactics,,Zen Mode
Maractus,Grass,,0556,461,75,86,67,106,67,60,"Water Absorb, Chlorophyll, Storm Drain",Water Absorb,Chlorophyll,Storm Drain
